
            Primeiras 250 pesquisas

Tempo de execução: 0.002324100, Linha no dataset: 115632
Tempo de execução: 0.002597900, Linha no dataset: 115896
Tempo de execução: 0.001840600, Linha no dataset: 116160
Tempo de execução: 0.001537600, Linha no dataset: 116424
Tempo de execução: 0.002059300, Linha no dataset: 116688
Tempo de execução: 0.003003600, Linha no dataset: 116952
Tempo de execução: 0.002696000, Linha no dataset: 117216
Tempo de execução: 0.002938700, Linha no dataset: 117480
Tempo de execução: 0.002193800, Linha no dataset: 117744
Tempo de execução: 0.001851800, Linha no dataset: 118008
Tempo de execução: 0.002818000, Linha no dataset: 118272
Tempo de execução: 0.002587900, Linha no dataset: 118536
Tempo de execução: 0.002743300, Linha no dataset: 118800
Tempo de execução: 0.002290600, Linha no dataset: 119064
Tempo de execução: 0.001726800, Linha no dataset: 119328
Tempo de execução: 0.000703200, Linha no dataset: 119592
Tempo de execução: 0.000687600, Linha no dataset: 119856
Tempo de execução: 0.000685100, Linha no dataset: 120120
Tempo de execução: 0.000665700, Linha no dataset: 120384
Tempo de execução: 0.000678900, Linha no dataset: 120648
Tempo de execução: 0.000573900, Linha no dataset: 120912
Tempo de execução: 0.000557700, Linha no dataset: 121176
Tempo de execução: 0.000567900, Linha no dataset: 121440
Tempo de execução: 0.000860900, Linha no dataset: 121704
Tempo de execução: 0.000983600, Linha no dataset: 121968
Tempo de execução: 0.001375000, Linha no dataset: 122232
Tempo de execução: 0.001600300, Linha no dataset: 122496
Tempo de execução: 0.000903900, Linha no dataset: 122760
Tempo de execução: 0.000644500, Linha no dataset: 123024
Tempo de execução: 0.000693800, Linha no dataset: 123288
Tempo de execução: 0.000660700, Linha no dataset: 123552
Tempo de execução: 0.000862400, Linha no dataset: 123816
Tempo de execução: 0.000871300, Linha no dataset: 124080
Tempo de execução: 0.000739200, Linha no dataset: 124344
Tempo de execução: 0.000594800, Linha no dataset: 124608
Tempo de execução: 0.000586900, Linha no dataset: 124872
Tempo de execução: 0.000538100, Linha no dataset: 125136
Tempo de execução: 0.000574600, Linha no dataset: 125400
Tempo de execução: 0.000560600, Linha no dataset: 125664
Tempo de execução: 0.000548300, Linha no dataset: 125928
Tempo de execução: 0.000558800, Linha no dataset: 126192
Tempo de execução: 0.000532000, Linha no dataset: 126456
Tempo de execução: 0.000542700, Linha no dataset: 126720
Tempo de execução: 0.000697500, Linha no dataset: 126984
Tempo de execução: 0.000821100, Linha no dataset: 127248
Tempo de execução: 0.000721600, Linha no dataset: 127512
Tempo de execução: 0.000710600, Linha no dataset: 127776
Tempo de execução: 0.000680500, Linha no dataset: 128040
Tempo de execução: 0.000681500, Linha no dataset: 128304
Tempo de execução: 0.000987400, Linha no dataset: 128568
Tempo de execução: 0.000721200, Linha no dataset: 128832
Tempo de execução: 0.000799500, Linha no dataset: 129096
Tempo de execução: 0.000681800, Linha no dataset: 129360
Tempo de execução: 0.000682100, Linha no dataset: 129624
Tempo de execução: 0.000610000, Linha no dataset: 129888
Tempo de execução: 0.000606800, Linha no dataset: 130152
Tempo de execução: 0.000615500, Linha no dataset: 130416
Tempo de execução: 0.000616000, Linha no dataset: 130680
Tempo de execução: 0.000611300, Linha no dataset: 130944
Tempo de execução: 0.000567700, Linha no dataset: 131208
Tempo de execução: 0.000567400, Linha no dataset: 131472
Tempo de execução: 0.001142400, Linha no dataset: 131736

 O tempo de execução na leitura da segunda parte do arquivo: 0.217166400s
 Tempo médio: 0.000868666s

            Pesquisas 500 - 750

Tempo de execução: 0.001558400, Linha no dataset: 132000
Tempo de execução: 0.001590000, Linha no dataset: 132264
Tempo de execução: 0.001496600, Linha no dataset: 132528
Tempo de execução: 0.001633200, Linha no dataset: 132792
Tempo de execução: 0.001727100, Linha no dataset: 133056
Tempo de execução: 0.001603200, Linha no dataset: 133320
Tempo de execução: 0.001635400, Linha no dataset: 133584
Tempo de execução: 0.001369900, Linha no dataset: 133848
Tempo de execução: 0.001456700, Linha no dataset: 134112
Tempo de execução: 0.001456300, Linha no dataset: 134376
